Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"RAIN","230.95","244.80","230.00","239.70","6.75","2.90","64.73","155.23","272.75","121.40","88.89","20.91"
"INGERRAND","1,141.40","1,190.00","1,128.00","1,168.00","32.25","2.84","0.26","2.99","1,350.00","612.50","78.39","-0.62"
"VMART","3,675.00","3,785.00","3,631.65","3,729.00","101.20","2.79","0.23","8.35","4,848.80","2,323.05","51.32","-5.54"
"HEMIPROP","125.50","130.50","125.00","127.90","3.40","2.73","6.22","7.96","201.80","72.50","44.93","-2.25"
"HEIDELBERG","222.90","227.40","220.05","226.75","5.80","2.63","1.16","2.61","284.95","211.30","-1.09","2.74"
"KPITTECH","608.10","619.90","601.50","613.00","15.35","2.57","23.05","141.14","619.90","126.80","356.95","23.93"
"ASTRAZEN","3,024.95","3,111.20","3,015.05","3,096.10","77.55","2.57","0.33","10.26","4,910.00","2,958.20","-33.31","-1.31"
"SHRIRAMCIT","1,744.40","1,779.85","1,730.60","1,775.00","44.45","2.57","0.27","4.81","2,602.00","975.00","67.00","-20.26"
"PRAJIND","328.70","335.00","328.70","334.90","8.20","2.51","4.14","13.83","407.00","101.35","192.11","-5.77"
"TATACOFFEE","208.90","216.20","208.40","213.70","5.20","2.49","30.46","64.98","254.40","103.50","102.46","5.35"
"KALYANKJIL","66.95","68.90","66.95","68.45","1.65","2.47","7.78","5.31","89.75","56.30","-","-"
"IBULHSGFIN","215.90","219.65","215.25","218.00","5.15","2.42","192.02","418.16","313.70","154.20","1.47","-4.80"
"TV18BRDCST","44.00","46.00","43.90","44.90","1.05","2.39","67.41","30.27","55.80","26.25","44.61","8.98"
"SUPPETRO","689.00","712.00","689.00","696.00","16.05","2.36","0.70","4.89","818.75","339.00","95.70","5.45"
"SUPRAJIT","418.80","434.40","415.00","428.65","9.85","2.35","2.26","9.58","474.90","196.00","113.42","3.08"
"INDIACEM","187.55","194.40","187.55","192.25","4.40","2.34","26.35","50.70","232.00","142.35","10.46","4.46"
"ERIS","749.85","767.00","741.05","763.00","17.35","2.33","0.97","7.35","863.00","473.50","33.32","6.03"
"INDOCO","446.70","456.00","437.00","454.40","9.95","2.24","1.58","7.06","530.25","274.20","52.53","17.05"
"EDELWEISS","70.30","72.95","70.00","71.60","1.55","2.21","15.03","10.73","100.90","56.70","1.85","6.71"
"JUSTDIAL","796.40","833.00","795.00","810.00","17.30","2.18","8.00","65.16","1,138.00","562.50","27.95","23.93"
"SJVN","30.40","31.00","30.15","30.70","0.65","2.16","50.99","15.63","33.75","24.50","21.34","10.23"
"AVANTIFEED","548.50","573.50","548.50","563.00","11.65","2.11","5.02","28.31","674.85","410.00","7.74","7.26"
"SPARC","276.55","289.00","276.55","285.10","5.80","2.08","14.66","41.76","312.00","141.00","57.04","15.52"
"IEX","248.90","254.10","248.30","252.80","5.10","2.06","60.21","151.71","318.67","68.10","13.41","-66.04"
"BALRAMCHIN","359.70","369.65","357.65","369.00","7.25","2.00","24.83","90.67","398.00","157.00","117.25","18.40"
"PNBHOUSING","485.00","498.75","484.00","495.00","9.60","1.98","1.81","8.94","925.00","325.05","38.64","-10.12"
"JBCHEPHARM","1,742.00","1,806.30","1,715.00","1,774.95","32.95","1.89","1.94","34.37","1,985.00","956.05","76.29","8.31"
"SFL","3,152.00","3,249.00","3,152.00","3,228.00","59.75","1.89","0.15","4.72","3,487.00","1,676.45","88.04","-1.00"
"MAHINDCIE","231.10","235.10","230.00","234.75","4.30","1.87","1.16","2.70","312.00","150.25","37.76","-1.90"
"CESC","86.30","87.80","86.20","87.65","1.60","1.86","10.57","9.22","102.45","57.72","-85.62","0.17"
"HATHWAY","21.55","22.40","21.45","21.85","0.40","1.86","30.71","6.73","35.30","19.60","-33.18","9.25"
"CHALET","212.00","217.75","212.00","215.80","3.90","1.84","0.91","1.96","292.80","122.65","17.25","-9.27"
"SCHNEIDER","103.90","107.55","103.85","105.60","1.90","1.83","3.91","4.14","147.15","82.00","23.22","1.25"
"JSLHISAR","343.10","353.05","343.10","349.00","6.10","1.78","1.99","6.96","358.80","109.05","144.14","15.37"
"KARURVYSYA","44.95","46.25","44.75","45.70","0.80","1.78","23.09","10.51","64.55","38.40","0.22","-4.69"
"LEMONTREE","45.00","46.90","45.00","46.25","0.80","1.76","13.51","6.25","59.90","27.00","14.76","3.82"
"TCIEXP","2,178.65","2,227.40","2,175.00","2,200.00","37.75","1.75","0.34","7.46","2,572.00","811.05","137.84","2.72"
"CHAMBLFERT","388.90","396.50","388.90","393.80","6.45","1.67","8.39","32.98","451.00","200.35","69.52","8.19"
"GPPL","98.05","99.95","98.05","99.65","1.60","1.63","3.70","3.67","124.30","86.00","-0.20","1.17"
"PVR","1,252.00","1,307.95","1,252.00","1,294.00","20.60","1.62","13.81","176.92","1,839.00","988.35","0.31","-5.66"
"STARCEMENT","94.05","95.75","94.05","95.55","1.50","1.59","0.95","0.90","120.00","88.45","-6.14","0.26"
"PGHL","5,139.80","5,475.00","5,011.00","5,194.00","78.65","1.54","0.19","10.13","7,500.00","4,903.00","-24.26","-2.45"
"KNRCON","295.50","302.70","294.60","299.50","4.50","1.53","5.06","15.15","343.90","162.00","-8.14","6.51"
"CCL","425.00","437.00","417.00","429.70","6.40","1.51","6.70","28.66","494.80","226.35","62.21","6.40"
"ASHOKA","99.30","100.85","98.65","100.55","1.50","1.51","17.68","17.67","125.00","78.40","11.54","4.52"
"AEGISCHEM","218.75","224.00","217.60","222.00","3.20","1.46","5.60","12.39","387.90","191.75","-11.27","-3.18"
"UFLEX","506.90","523.15","506.90","512.00","7.25","1.44","0.78","4.03","658.00","337.55","36.53","4.69"
"RALLIS","271.90","276.80","271.90","274.50","3.75","1.39","3.56","9.76","362.60","242.35","-2.93","10.24"
"ADVENZYMES","323.30","329.00","323.00","326.05","4.40","1.37","0.74","2.42","503.70","301.10","1.30","-0.43"
"NESCO","576.00","592.60","576.00","587.00","7.80","1.35","0.27","1.57","696.80","465.00","7.21","-0.69"
"ELGIEQUIP","296.00","303.00","292.10","300.00","3.80","1.28","1.50","4.46","347.00","149.80","93.74","8.99"
"CAMS","2,640.00","2,674.90","2,640.00","2,672.00","33.15","1.26","0.99","26.26","4,067.40","1,701.00","48.75","-13.18"
"TATASTLLP","724.90","740.00","723.05","730.40","9.05","1.25","0.41","2.98","1,173.00","542.30","32.43","2.82"
"TRIDENT","53.00","55.10","52.60","53.15","0.65","1.24","393.49","213.90","59.90","9.50","447.94","2.21"
"JMFINANCIL","73.40","76.55","73.10","74.40","0.90","1.22","17.01","12.70","117.70","64.90","-10.95","4.57"
"VENKEYS","2,645.00","2,753.50","2,628.00","2,660.00","31.80","1.21","0.93","25.16","3,955.00","1,495.10","53.03","6.81"
"BAJAJELEC","1,280.00","1,297.85","1,261.55","1,286.50","15.30","1.20","1.27","16.25","1,588.95","602.25","109.68","19.76"
"UCOBANK","12.95","13.05","12.90","13.05","0.15","1.16","14.11","1.83","16.35","10.75","3.16","0.77"
"GMMPFAUDLR","4,770.00","4,924.00","4,762.80","4,842.70","54.85","1.15","0.39","19.15","5,435.00","3,535.00","28.44","8.18"
"MIDHANI","178.45","183.50","178.20","180.25","2.05","1.15","3.46","6.28","221.85","174.00","-8.48","-2.22"
"MAZDOCK","276.50","282.20","276.00","278.85","3.15","1.14","4.13","11.54","321.00","191.85","26.09","7.13"
"ROSSARI","1,280.00","1,299.00","1,250.65","1,285.00","14.50","1.14","0.79","10.05","1,619.00","818.05","35.35","-0.70"
"JKPAPER","203.10","209.00","203.10","205.35","2.25","1.11","3.74","7.67","284.90","104.45","95.76","-1.32"
"SIS","455.00","466.05","454.65","460.00","4.95","1.09","0.35","1.60","549.00","353.85","5.08","-4.35"
"KRBL","241.00","243.75","241.00","242.60","2.60","1.08","1.66","4.02","337.95","173.15","-3.48","0.52"
"TANLA","1,874.00","1,937.65","1,827.05","1,865.25","19.85","1.08","4.87","92.16","2,023.95","647.00","162.95","24.41"
"KEI","1,146.10","1,180.80","1,145.50","1,169.00","12.10","1.05","1.64","19.11","1,265.00","458.00","138.52","5.80"
"MAHABANK","19.15","19.35","19.05","19.25","0.20","1.05","17.73","3.41","32.00","12.95","47.51","0.26"
"ASTERDM","175.50","175.60","172.70","174.55","1.80","1.04","3.75","6.53","237.00","132.55","4.49","-9.09"
"MCX","1,570.00","1,596.00","1,570.00","1,584.85","16.20","1.03","2.77","43.84","2,135.00","1,432.30","-9.76","-0.89"
"ZENSARTECH","522.70","528.80","514.00","524.00","5.30","1.02","16.95","88.34","587.00","223.40","118.79","17.34"
"ENGINERSIN","69.25","70.40","69.25","70.00","0.70","1.01","7.50","5.25","93.30","67.30","-11.34","-2.37"
"CENTURYPLY","595.00","602.45","587.90","600.00","5.80","0.98","0.84","5.02","712.90","229.55","156.57","-0.27"
"JINDALSAW","98.95","100.20","98.35","99.10","0.95","0.97","7.19","7.14","147.60","69.85","30.65","-1.98"
"GALAXYSURF","3,091.25","3,155.00","3,091.25","3,140.00","29.30","0.94","0.11","3.55","3,585.65","1,989.50","57.23","13.07"
"PNCINFRA","261.00","264.85","260.65","263.00","2.45","0.94","2.45","6.46","395.90","169.50","51.63","-14.44"
"AMBER","3,291.45","3,333.00","3,290.00","3,322.00","30.55","0.93","0.25","8.22","3,788.65","2,340.00","39.61","9.66"
"GARFIBRES","3,180.00","3,198.75","3,152.95","3,193.75","28.55","0.90","0.15","4.62","4,030.00","2,125.10","41.92","-0.18"
"JSL","194.35","203.90","194.35","198.30","1.75","0.89","17.92","36.00","207.90","60.45","157.53","20.07"
"JYOTHYLAB","138.15","138.80","137.20","138.50","1.20","0.87","3.62","5.00","187.30","135.00","-5.75","-10.38"
"CDSL","1,486.50","1,528.00","1,485.00","1,499.50","12.80","0.86","6.43","96.86","1,734.40","476.35","185.73","3.34"
"CEATLTD","1,200.55","1,225.50","1,190.60","1,210.70","10.15","0.85","0.92","11.11","1,763.00","1,051.55","12.99","3.10"
"BEML","1,634.00","1,679.00","1,633.65","1,645.10","13.75","0.84","2.17","35.87","2,085.00","888.10","70.35","-10.96"
"VTL","2,335.00","2,382.90","2,275.55","2,353.00","19.60","0.84","0.91","21.19","2,420.00","1,011.35","115.08","15.80"
"SHARDACROP","354.30","358.50","350.10","353.00","2.90","0.83","2.20","7.79","387.00","258.70","31.25","12.28"
"MRPL","43.00","43.50","42.85","43.15","0.35","0.82","3.65","1.57","57.80","33.80","22.41","-2.82"
"BSOFT","543.45","549.00","539.00","545.50","4.40","0.81","23.59","128.42","549.35","215.90","114.93","14.85"
"UJJIVANSFB","18.40","18.75","18.40","18.65","0.15","0.81","11.28","2.10","44.60","17.00","-53.08","2.47"
"SOBHA","893.05","904.15","880.60","894.00","7.10","0.80","2.62","23.38","980.00","347.60","133.73","4.37"
"JKLAKSHMI","575.00","582.00","568.50","577.00","4.55","0.79","0.74","4.26","816.00","310.30","67.08","-9.13"
"IRCON","44.90","45.35","44.80","45.25","0.35","0.78","9.63","4.34","54.25","39.68","-47.93","0.67"
"GREAVESCOT","136.30","139.70","136.30","138.10","1.05","0.77","5.75","7.98","184.40","84.45","59.84","0.58"
"MINDACORP","169.35","172.70","167.90","169.70","1.25","0.74","4.40","7.49","179.85","84.45","87.72","3.86"
"BASF","2,994.70","3,071.70","2,935.00","3,000.00","21.70","0.73","0.46","13.67","3,930.00","1,550.00","82.74","10.58"
"GRINDWELL","1,904.00","1,925.00","1,859.00","1,905.00","13.55","0.72","0.80","15.30","1,925.00","672.00","163.50","18.08"
"RAILTEL","116.25","118.40","116.00","117.00","0.80","0.69","4.77","5.59","189.70","101.00","-","-"
"VGUARD","220.50","222.50","220.50","221.90","1.50","0.68","2.92","6.48","285.00","185.30","18.92","-9.34"
"POLYMED","951.00","977.35","944.00","958.00","6.35","0.67","1.08","10.41","1,165.00","485.00","87.07","-7.60"
"GSFC","120.15","122.00","118.85","121.50","0.80","0.66","7.21","8.73","150.75","71.10","65.31","8.92"
"RCF","75.80","77.55","75.80","76.25","0.50","0.66","15.11","11.57","100.15","51.60","41.73","9.16"
"LUXIND","3,682.10","3,739.75","3,660.00","3,688.00","24.05","0.66","0.37","13.81","4,644.00","1,567.10","122.25","-3.20"
"GNFC","438.05","449.00","437.20","440.00","2.80","0.64","14.35","63.56","518.20","202.30","97.75","3.59"
"MASTEK","3,020.00","3,037.25","3,000.65","3,025.00","17.80","0.59","0.43","13.00","3,669.00","1,065.00","158.99","12.22"
"ALOKINDS","25.75","26.35","25.60","25.70","0.15","0.59","119.40","30.96","32.25","18.70","20.94","20.37"
"ASAHIINDIA","479.15","486.00","472.30","479.00","2.70","0.57","1.09","5.19","533.00","256.05","71.93","-0.57"
"NCC","69.90","71.15","69.90","70.25","0.35","0.50","21.04","14.83","99.85","56.85","19.27","-0.85"
"ROUTE","1,786.00","1,828.80","1,773.20","1,780.00","8.60","0.49","2.08","37.41","2,389.00","1,090.00","60.74","-1.89"
"LXCHEM","430.85","438.00","427.50","431.25","2.10","0.49","4.74","20.53","628.00","143.25","-","-"
"MHRIL","187.85","189.85","186.55","187.80","0.90","0.48","2.16","4.06","267.50","128.73","-9.97","-9.45"
"NFL","52.45","53.60","52.20","52.45","0.25","0.48","5.91","3.13","73.70","37.40","38.57","6.61"
"GUJALKALI","652.10","659.50","646.25","653.00","3.05","0.47","0.98","6.40","846.00","304.65","82.15","7.48"
"IDBI","46.35","46.95","46.00","46.30","0.20","0.43","47.41","22.05","65.25","26.35","50.08","1.87"
"REDINGTON","145.00","146.20","144.20","144.75","0.60","0.42","7.79","11.30","179.00","65.08","8.35","-1.56"
"HUDCO","38.90","39.45","38.80","38.90","0.15","0.39","18.45","7.19","58.25","37.85","-2.63","-0.51"
"UTIAMC","1,053.00","1,070.90","1,035.00","1,050.00","4.10","0.39","1.30","13.72","1,216.20","538.00","87.15","-4.17"
"INFIBEAM","40.30","40.70","40.00","40.25","0.15","0.37","19.71","7.94","113.70","36.70","-53.12","2.03"
"DCMSHRIRAM","951.00","972.00","948.05","958.00","3.15","0.33","0.27","2.62","1,250.00","385.00","146.02","-0.07"
"IBREALEST","157.50","160.60","156.75","157.30","0.50","0.32","56.99","90.28","195.90","72.50","98.36","-6.15"
"JAMNAAUTO","103.50","106.40","102.50","102.90","0.30","0.29","6.80","7.07","118.90","58.45","68.55","3.94"
"CREDITACC","598.15","605.00","595.00","599.00","1.70","0.28","0.44","2.65","814.00","494.70","-21.98","19.00"
"IRB","225.65","230.00","224.10","227.00","0.60","0.27","11.09","25.19","345.85","100.60","106.83","10.62"
"WELCORP","176.00","182.50","175.80","178.25","0.45","0.25","16.21","29.24","194.00","105.85","31.84","8.00"
"BIRLACORPN","1,439.95","1,451.05","1,410.00","1,428.00","3.50","0.25","0.47","6.78","1,650.00","701.10","95.54","5.85"
"CGCL","518.05","525.00","514.25","522.95","1.25","0.24","0.30","1.53","579.50","303.70","68.61","4.52"
"EIHOTEL","124.50","125.45","123.85","124.10","0.25","0.20","1.55","1.93","155.00","82.00","36.98","3.07"
"NETWORK18","91.00","92.00","89.55","90.40","0.15","0.17","8.02","7.28","114.80","34.50","150.07","26.26"
"NILKAMAL","2,436.05","2,472.35","2,406.25","2,440.00","3.95","0.16","0.03","0.66","3,180.00","1,424.95","59.29","2.93"
"BSE","1,919.90","1,938.00","1,912.00","1,914.00","3.15","0.16","3.39","65.13","2,373.70","535.50","214.18","22.70"
"SONATSOFTW","871.00","881.95","870.55","872.00","1.10","0.13","0.96","8.41","1,024.90","355.55","119.07","-4.62"
"RADICO","1,233.80","1,245.00","1,213.75","1,233.00","1.45","0.12","8.51","104.21","1,285.00","446.00","173.00","9.86"
"FINPIPE","207.00","208.00","205.55","206.85","0.25","0.12","1.41","2.91","244.50","114.40","-68.01","-2.36"
"SEQUENT","162.00","163.80","160.20","161.10","0.20","0.12","5.20","8.43","336.50","144.75","-5.10","6.23"
"WESTLIFE","554.00","563.95","550.75","557.00","0.60","0.11","0.27","1.53","629.00","385.10","23.09","1.55"
"MMTC","44.50","44.80","44.05","44.40","0.05","0.11","14.82","6.59","63.95","24.60","63.54","13.41"
"POLYPLEX","1,876.10","1,899.90","1,870.00","1,878.00","1.90","0.10","0.46","8.66","2,110.00","676.00","161.29","1.75"
"HAPPSTMNDS","1,304.00","1,310.00","1,287.45","1,297.05","0.90","0.07","1.98","25.71","1,580.00","333.25","276.34","-10.23"
"IFBIND","1,129.95","1,139.40","1,117.05","1,125.00","0.70","0.06","0.03","0.35","1,502.90","876.25","-3.49","-1.29"
"SYMPHONY","1,018.40","1,018.40","995.65","1,002.00","0.65","0.06","0.16","1.56","1,528.80","890.00","-1.62","7.43"
"CGPOWER","197.00","199.00","192.00","195.00","0.10","0.05","9.48","18.55","199.00","37.75","786.36","30.74"
"JKTYRE","139.80","141.00","138.00","139.40","0.05","0.04","7.71","10.78","171.70","73.80","86.11","8.31"
"RATNAMANI","1,954.65","1,954.65","1,917.00","1,945.00","0.10","0.01","0.08","1.59","2,305.30","1,451.20","23.68","-11.87"
"INOXLEISUR","351.55","356.05","350.40","353.00","0.05","0.01","1.92","6.76","466.00","244.00","25.73","-11.81"
"HGS","3,351.00","3,364.85","3,301.00","3,312.00","0.20","0.01","0.15","4.85","3,555.00","1,053.00","192.27","15.04"
"IOB","20.40","20.65","20.35","20.35","0.00","0.00","43.14","8.83","29.00","10.20","93.81","-2.40"
"CENTRALBK","21.30","21.55","21.20","21.25","0.00","0.00","24.04","5.13","29.65","12.50","54.55","-0.47"
"BAJAJCON","198.85","199.55","197.50","197.90","0.00","0.00","2.37","4.70","324.00","179.45","-8.32","8.14"
"JUBLPHARMA","587.00","595.95","582.10","586.00","0.00","0.00","1.01","5.92","1,046.95","557.00","-","-"
"DCBBANK","78.60","79.85","78.35","78.95","0.00","0.00","26.89","21.30","126.50","78.35","-34.26","-3.78"
"JCHAC","1,990.30","1,999.90","1,962.95","1,980.00","-0.35","-0.02","0.05","0.98","2,940.00","1,774.80","-22.06","4.29"
"CANFINHOME","551.00","562.85","551.00","554.20","-0.30","-0.05","7.04","39.15","722.00","455.25","11.59","-6.08"
"COCHINSHIP","357.00","357.80","352.05","356.40","-0.25","-0.07","1.47","5.23","433.90","328.00","-6.71","4.96"
"SOLARA","1,015.00","1,030.45","1,015.00","1,019.95","-1.05","-0.10","0.31","3.18","1,859.95","980.00","-14.05","-19.94"
"FDC","307.00","313.50","303.40","304.90","-0.30","-0.10","3.62","11.17","404.90","255.20","-6.37","6.94"
"FSL","183.70","185.80","182.15","183.00","-0.20","-0.11","30.17","55.53","242.85","84.20","84.48","7.90"
"HIKAL","529.90","538.05","525.00","525.85","-0.65","-0.12","0.80","4.26","742.00","143.00","218.70","4.13"
"QUESS","845.60","860.15","840.50","851.10","-1.10","-0.13","0.72","6.15","989.90","500.20","56.88","-4.76"
"BURGERKING","142.35","142.50","141.20","141.25","-0.20","-0.14","6.61","9.38","189.70","126.10","-19.56","-4.85"
"KEC","481.80","482.25","475.00","479.00","-0.85","-0.18","0.73","3.50","550.00","337.65","30.59","12.61"
"STAR","450.00","451.50","445.00","446.50","-0.85","-0.19","5.29","23.73","999.00","403.30","-49.89","-8.48"
"FINEORG","3,687.00","3,770.00","3,626.55","3,680.00","-7.10","-0.19","0.24","9.10","4,048.75","2,127.15","46.40","2.50"
"SWSOLAR","389.00","393.00","378.60","381.90","-0.80","-0.21","11.08","42.58","509.10","183.50","61.69","-4.45"
"NBCC","46.30","47.05","45.80","45.95","-0.10","-0.22","101.93","47.18","59.80","28.95","56.29","14.02"
"CAPLIPOINT","862.00","869.00","848.00","859.00","-2.00","-0.23","1.07","9.15","1,034.80","401.00","70.74","14.76"
"IIFLWAM","1,424.25","1,454.40","1,406.00","1,413.65","-3.50","-0.25","0.50","7.23","1,785.40","975.35","41.16","-5.12"
"HFCL","79.30","80.40","78.55","78.70","-0.20","-0.25","73.19","58.20","95.70","23.00","207.42","9.61"
"KSB","1,210.00","1,239.90","1,201.50","1,205.00","-3.45","-0.29","0.27","3.28","1,411.00","624.50","87.88","-2.98"
"EIDPARRY","450.45","456.95","449.45","450.05","-1.35","-0.30","0.65","2.92","532.90","302.50","27.76","-3.52"
"FINCABLES","529.60","533.85","526.30","528.00","-1.65","-0.31","0.63","3.33","608.60","336.35","55.02","-6.89"
"GESHIP","299.50","300.90","295.85","298.65","-1.00","-0.33","4.21","12.58","445.00","249.35","13.06","1.70"
"LAXMIMACH","8,630.00","8,681.20","8,550.00","8,565.55","-28.90","-0.34","0.07","5.93","9,954.50","4,550.00","86.90","0.53"
"PRINCEPIPE","703.05","707.95","699.00","700.00","-2.40","-0.34","1.57","11.01","897.00","271.00","134.19","-3.91"
"SPANDANA","456.05","466.55","455.15","460.00","-1.60","-0.35","1.08","4.97","830.00","392.20","-37.91","15.78"
"CSBBANK","235.00","239.20","234.35","235.15","-0.85","-0.36","1.13","2.66","374.00","213.80","8.36","-15.00"
"GODREJAGRO","523.95","524.85","512.25","517.70","-2.10","-0.40","1.71","8.85","746.80","475.20","-3.36","-1.81"
"EQUITASBNK","59.50","60.40","59.10","59.55","-0.25","-0.42","3.04","1.82","76.80","36.30","58.80","-1.24"
"SCI","135.10","136.65","134.55","134.70","-0.65","-0.48","7.56","10.25","160.20","81.20","50.00","-9.35"
"THYROCARE","1,112.00","1,121.00","1,095.20","1,104.00","-5.75","-0.52","1.02","11.32","1,465.00","831.00","21.53","-0.14"
"IIFL","280.00","286.00","278.00","278.40","-1.45","-0.52","2.06","5.81","374.90","103.75","147.14","-10.05"
"EQUITAS","111.70","113.50","110.50","110.95","-0.60","-0.54","6.80","7.58","145.00","66.05","63.04","-8.49"
"RHIM","370.00","375.00","364.55","367.00","-2.05","-0.56","0.73","2.70","407.00","212.60","-","-"
"ICIL","256.00","257.90","245.00","252.10","-1.50","-0.59","2.05","5.20","315.00","113.00","75.56","8.15"
"POONAWALLA","221.90","226.70","218.05","219.70","-1.35","-0.61","30.88","68.62","230.70","38.65","-","-"
"VIPIND","542.10","545.65","535.00","537.00","-3.40","-0.63","1.54","8.29","668.85","304.60","52.62","-3.95"
"GRANULES","337.40","344.80","332.05","336.00","-2.30","-0.68","11.86","40.22","404.80","280.50","-7.53","11.78"
"LAOPALA","428.85","433.00","423.05","423.40","-3.10","-0.73","2.22","9.49","456.50","200.25","75.25","27.63"
"BBTC","1,129.90","1,129.95","1,089.90","1,110.00","-8.30","-0.74","0.44","4.86","1,424.95","980.50","-14.25","11.70"
"MOIL","170.00","170.80","168.50","169.05","-1.35","-0.79","3.62","6.13","207.95","133.50","16.51","0.00"
"KPRMILL","679.00","689.00","666.00","671.60","-5.40","-0.80","3.88","26.30","699.00","166.04","-23.33","27.40"
"UJJIVAN","134.00","135.00","130.10","132.05","-1.10","-0.83","4.90","6.52","310.95","125.45","-52.12","-2.55"
"GODFRYPHLP","1,168.00","1,168.00","1,120.20","1,126.00","-9.60","-0.85","0.15","1.76","1,408.75","841.50","15.50","-7.20"
"NOCIL","234.80","237.25","231.50","232.30","-2.05","-0.87","6.45","15.14","321.30","140.00","61.88","3.06"
"FACT","133.00","136.40","130.35","132.85","-1.20","-0.90","6.45","8.57","153.00","59.95","116.72","20.88"
"SHILPAMED","539.90","546.05","533.20","535.00","-4.90","-0.91","1.08","5.84","670.40","311.60","20.71","-1.62"
"KALPATPOWR","376.50","380.25","369.00","372.00","-3.40","-0.91","2.71","10.15","496.00","309.15","16.93","-4.22"
"SUDARSCHEM","566.15","566.15","554.45","558.00","-5.30","-0.94","0.51","2.84","794.00","470.20","16.60","-0.82"
